text_akhir,polarity_score,polarity
ui berat gamenya framedrop semenjak update part game berat tolong perbaiki perfoma gamenya frame drop pas battle ganti character menu open world disetting kiri frame dropapalagi menu pilih karakter optimal kayagini medium hp sanggup lancar fps frame drop banget frame drop udah kiri settingnyabut still frame drop,-10,negative
game bagus terimakasih perbaikan optimalisasinya harap kedepannya pas part kendala optimalisasi buruk memainkannya force close menerus device poco f,4,positive
kekurangan minimnya karakter cowok playablecuma adam kelebihan desain karakter cewek bagus efek battle rame memanjakan mata storynya asik seru diikuti thats overall honkai impact rd thanks,4,positive
game bagus mengalami bug mengganggu dimana karakter menghilang jalan menyerang merugikan quest gagal tolong perbaiki bug,-9,negative
jaman mihoyo main level valkyrie udah pensi device memadai freeze udah device main honkai eh udah ganti hoyoverse akun mihoyo gua yg hilang main lumayan hoki x gacha udah chara hadiah login free herrscher void story memanjakan mata,-5,negative
temen yg kehilangan akun akun hilang data tersimpan mihoyo kalo log langsung ingame akun ketumpuk hoyoverse akun email satunya balikin yg log dipojok kanan akun log copy email hoyoverse kalo diawal udah ketumpuk pilih email copy akun hadiah returnee,-6,negative
bilang ui berat lancar ajh main fps kuat hp medium lu tau ratarata game update update hp spek ngeluh hp udh nggk support nggk paksa main tanda udh lu ganti spek hp bagus hp lu bagus support ni game lu kgk ngeluh listen dont judge,-10,negative
pliss kemudahan player fp gua ngebuild karakter butuh sistem gacha mahal membutuhkan kristal gacha dapatmending drop kristal misi misi haduhhh pantes ni game sepi,-14,negative
overall gamenya mudah dimainkan karakterkarakter menarik dapatkan,5,positive
update berat mainin storynya serukarakternya baguscop op hilang update part bagus berat aja maininnya,-4,negative
butuh pengoptimalan device kelas menengah quest story membebani device frame drop freeze bermain pengaturan default semulanya hd turun peforma device,-13,negative
game anime bagus main bingung combo attack mengerti main pas libur lumayan ngisi libur story desain karakter event gacha sistem battle grafik gacha nggak pelit langsung ranks cuman create dorm gacha event gacha create rekomendasi prosesor game snapdragon g,10,positive
game ny bagus diperbaiki bug valkyrie helical contrapsion bergerak rotasi mohon diperbaikiapakah game wifi coba masuk youtube mbsmantap mihoyodan mihoyo pas masuk game bar signal langsung jelek buka lancar² mbs pas buka sinyal tiba² jelekkan fp dijelekan,3,positive
alur ceritanya karakter gensin impact maen langsung bosen nikmatin skil karakter yg upgrade beda misi beda karakter yg seru penyelesaian misi ketetapan exp musuh bertarung exp musuh full pakai penyelesaiannya,-10,negative
gacha kurangi terimakasih hoyovers game memukau,10,positive
hai aplikasi honkai impact rd gw main game bagus banget lengkap game honkai impact rd rpg bagus banget sesuai terbaik sukses muda mudahan bermain game pakai update kak gini aja ram aja hp gw mah perbanyakan ram internal ok kak terima kasih info honkai impact rd,18,positive
seruuu bgtt candu main game pengen banget honkai impact masukin battlesuit hu tao genshi gapapa udah turutin udah bagus game bikin candu bgt susah bgt dapetin crystal gratis kayak story misi misi dapet,4,positive
sumpah gua rindu honkai impact jaman simpel install sparkle masuk hi sumpah gua bingung dah senjata jenis karakter beragam mah simpel varian karakter udah karakter orang berhenti main kayaknya valkyrie valkyrie udah make,-15,negative
gameplay udah bagus banget cgvanimasinya udah suka banget varian valkyrie suka kalo tolong adain co op sulit kalo player kayak memories abby lainnyajadi kalo co op bantu player harap co op pendapat hoyoversemihoyo tetep semangat suka mendengar saranpendapat player captain thanks,8,positive
hi game terbaik era semenjak tambahin gimmick mode open world berubah total game berat ramah hape midend seminggu memperbarui pengaturan perangkat gampang panas grafik rendahmedium ui berat heran kalo player hi,13,positive
min gk masuk menghubungkan jaringan mulu koneksi wifi bagus tolong perbaiki secepatnya,-3,negative
sejauhh efeknya baguss memanjakan mataa maybe line utama pendukungnya dijadiin animasi bergerak biar seruu,-2,negative
grafik ok music ok mekanik ok honkai impact yg toleransi hp gw diliat liat bagus game,14,positive
astaga gue comeback main honkai impact akun gue yg hilang tau kemana gue login pakai gmail udah kacauuu kacauuu sepecah keamanan akun honkai impact akun gue udah level gede yg kalo gue maen gue udah males jujur honkai impact nih game favorit gue dlu akun gue hilang anj dah cape gue ngulang makasih honkai impact gameplaynya gue kecewa,-8,negative
kau hilangkan mode coop pdahal dimana pamerin valkry sma build stigma senjata emng mudah dapetin senjata ni game solo player,7,positive
si udah level akun terdaftar pas login email sandi udah udah banget main level bru login lgi bru akun terdaftar,6,positive
udah main udah bertahan setahun main dr jaman banner carole yak lumayan kecewa part udah asik udah bagus² aja part story nyentuh hati bagus karakter bagus gameplay asik kadang ngeleg dikit player kiri nih sorry banget nih part kureng banget kyk kerasa kayak main hi kyk main game udah pensi msh berharap yg,-3,negative
game bagus banget story lumayan seru nyesel download game mohon developer ukuran game dikecilin size bug diperbaiki biar player ngeluh game,-4,negative
tolong fokuskan pengguna cloud game game mudah akses mohon pertahankan game,14,positive
semoga cepat selesai story part yg karakter utamanya dreamseeker story tolong karater utamanya kiana aja karakter yg dream seeker,0,neutral
ui berat gamenya framedrop semenjak update part game berat tolong perbaiki perfoma gamenya frame drop pas battle ganti character menu open world diaetting kiri frame dropapalagi menu pilih karakter optimal kayagini medium hp sanggup lancar fps frame drop banget frame drop udah kiri settingnyabut still frame drop,-10,negative
keren gamenya seru unik usahain kecilkan size gamenya hp penyimpanan main,1,positive
game bagus grafis musik animasi bagus mekanisme gameplay lumayan karakternya bagus khas kecewanya komunitasnya aneh akhirakhir developer nggak konsisten ngehapus karakter kecewa kerasa honkai diinvasi player anehnya ketimbang bencana honkai,-6,negative
tolong perbaiki update masuk game,0,neutral
dlu gamenya pake hp medium lumayan lancartpi update tmbah ngelek pdhl udh upgrade hp,1,positive
game udah bagus ui berat size gede udah bgus,1,positive
bagus banget pas download data game banget butuh penyimpanan gameplay menarik story yg bikin mewek karakter overall bagus banget game hadiah event achievement jg melimpah,-6,negative
kesini gamenya seru main akun late game kesel bosen gachanya gila mentok minimal kali kalo character udah beli daily crystal monthly pass abis rb sebulan mentok mentokdapat valkri weaponnya versi muncul valkri nabung versi kalo fullset karakter kalo pw kompe udah main,-26,negative
kali maen ni game berhenti pas mo akun restart putuskan g maen maen lg akun ngulang yah mumpung ngulang mi coba ae maen lg ngangenin uyyy masa² maen ni game seru,22,positive
sumpah game udah worth mainin dorm armada update gacha emang habisin pity gw aktif main nih game part aja udah males pensi nih nih game sistem gacha udah bagus rencana uninstall nih game gini aja isi guestt survey dibaca,-13,negative
update game berat diawal game layak dimainkan handphone layak main handphone snapdragon fps tolong mihoyo kedepannya diperhatikan playernya bermain nyaman,5,positive
udah bagus segi gameplay kalo harga gacha kurangin pull segi meta mudah berganti versi wajibkan gacha karakter kalo gk drop rate perbesar harga gacha,-4,negative
main kesini berat gapapa wajar update game seru menyenangkan,1,positive
bagus story part tolong menarik part dimana story berkesan tolong tambahkan karakter yg menggoda birahi,0,neutral
tolong optimalkan map chapter enteng tp map open world berat padhal device helio g map openworld dignshin honkai star raill msh berjalan fps setingan medium honkai impact seting kiri low cum fps tolong perbaiki mihoyo,0,neutral
menghabiskan jam login akun akun ditautkan mihoyo ditautkan hoyoverse login email hoyoverse akun terdaftar,-3,negative
heran pas login pake akun gk pas pemulihan akun pake akun lamaakun hoyoverse pas pulihkan disuruh akun gk karna akun udah terlogin akun hoyoverse gimana tolong hoyoverse memulihkan akun unbind akun kayak google facebook biar masuk akun lainbaru,1,positive
update part game frame drop pahal bermain part mengalami frame drop seting grafik terendah perubahan kualitas grafik terendah grafik tertinggi menyebabkan frame drop tolong perbaiki,5,positive
gw player udah lumayan sempet berhenti main main gilakk game berubah banget segi story karakter menu dll gw kadang bingung menu fitur wkwk jujur fitur gw kangenin hi udah improve banget gw reward event dibandingkan event misi misi sulit semoga diperbanyak bansos dilancarkan,6,positive
update menuhin penyimpanan internal doang bikin berat game misi susah menyelesaikan misi membosankan eventevent sensitivitas kameranya licin atur,-2,negative
game kali gw nunggu sumber daya banget suka ngelek,6,positive
semenjak update terbaru malas main fitur open world ui berat setting low game kayak honkai star rail smooth medium low genshin medium low low drop fps nyaman mainin pas udah tamat story open world tolong update optimalkan android biar stabil optimilalisasinya fix saran,-1,negative
comeback masuk event armada story lag loading gk selesaiselesai jaringan lancar sehinggah paksa tutup aplikasi login merepotkan storynya bikin stage kalo open world bikin bingung dll,-22,negative
semenjak part kecewa hoyoverse game honkai impact cenderung aksi eksplorasi memaksimalkan gaya bertarungnya digabung eksplorasi aksi updatenya frame drop honkai part jujur suka honkai impact dibanding,14,positive
mendownload genshin impact perangkat bersyukur salah game hoyoverse perangkat honkai impact perangkat,3,positive
dunia elysia susah memakan equipment karakter lengkap menyelesaikan konten pertarungan butuh sempurna equipment lengkap karakter kalah damage karakter perjuangan,-19,negative
player nyaman gameplay fitur sistem yg player bermain suka sesuai iklan,5,positive
kebanyakan tutorial malas main kalo tutorial,-2,negative
manajemen akun sampah login akunku hilang mencari akunku menghubungkan akunku tertaut akun hoyoverse yg pemberitahuan email kecewa bermain menyukai game berubah keamanan hoyoverse sampah,-10,negative
game ui yg player ngeluh karna frame drop sistem yg frame drop karna device smart phone middle oh hp yg pake redmi c main part lancar frame drop dunia dream seeker battle tertentujadi stabil coba mengatur grafik aman secepatnya kestabilan player bermain nyamanthanks,-3,negative
pribadi kecewa tingkat kesulitan shallow sequence ngotak udah musuhnya darahnya tebal dikasih batasan musuhnya pakai karakter trial aja gagal tantangannya shallow sequence sumber crystal terbaik player fp sulit mainnya pemain enjoy hadiahnya meh,-2,negative
bagus player gratisan falkrye mantep mantep bintang misi event gratis misinya sulit diselesaikan menghabiskan,-2,negative
event hilang habis,-1,negative
game bagus berharap game sistem cloud gamingnya pemain yg terkendala spesifikasi ponselnya bermain kualitas tertinggi videonya seenggaknya nyaman bermain superstring story event,10,positive
gamenya bagus dri grafik animasi charnya cantik cantik skillnya jg keren keren dll cuman suka dapetin crystalnya player yg namatin story gampang kalo udah kelar males abyss dptin crystal ato nunggu event event dah aja menurutku oiya apho tolong support device kentang kalo main apho tremor layarnya ngelag,0,neutral
game segi gameplay grafis cerita event desain karater bagus update login kendala main pc update update falconos wajar wajar aja mengunduh data cg aset musik sfx banget koneksi lancar update falconos mengunduh game lemot login stuck memeriksa update ganti koneksi login mohon diperbaiki,-15,negative
game kikir beda bet ama download skrg dptin valkryie aja susah bet lumayan gampang jirr,2,positive
loginkan facebook akun abis hapus game pas download ulang akun ilang,-4,negative
gamenya bagusditambah mekanik gameplaynya menarik macampaling kurangnya ukuranya kadang gelang geframe,3,positive
jujur game menarik mainkan game targetkan orang orang game bilang memuaskan berbeda game hoyo butuh seminggu ogah memain game,1,positive
game gajelas udah main masuk udah tekan layar masuk game bug download dapet bug bugnya masuk main emang game bugnya,-3,negative
kecewa berat akun ampas hilang akun bikin males kacaw udh coba pemulihan email terdaftar akun honkai impact rilis kecewa berat dah,-6,negative
kecewa berat login kecewa sampe bikin emosi parah apaapaan login sesuai,-3,negative
really love game berharap versi cloud gaming resmi hoyoversemihoyo pemain terkendala kemampuan perangkat bermain cloud gaming resmi,10,positive
sizenya bengkak aja turunin kalo ngga hapusin aja tuh data g udah dipake,-7,negative
ayolah hoyoverse bikin hi kaya ramah ama divice rendah bikin player susah comeback main game berat,-5,negative
gamenya berat kayak udah settingan hemat batre tetep aja berat hp cepat panas,0,neutral
game bagus storynya bagus grafik bagusdlu maen hp kentang cuman grafik low serakang alhamdulillah maen hp yg lumayan bgus maen setingan high semoga game berkembang oke thanks aichan,18,positive
puas update honkai impact rd part reward melimpah sorotan tersendiri optimalisasi grafis device android midrangeflagship merasakan indahnya grafis honkai impact rd set lowhigh device android entrylevel terinjak settingan low ditingkatkan grafisnya system ui battle analognya membutuhkan adaptasi memainkannya,5,positive
game bagus pay win ukuran unduhan yg terbilang seimbang grafik yg blackscreen bug login jaringan sendirisaya mengalaminya mengulangi jaringan bug blackscreenjika blackscreen yg menandakan spesifikasi hp yg mendukung,1,positive
dear developer tolong kenyamanan bermain hi tolong persulit menyelesaikan story persulit level sulit banget beda hi mudah main nyelesaiin stage menaikkan level sulit mudah banget tolong next update perbaiki persulit kenyamanan bermain player hi terima kasih,23,positive
games menarik segi grafisnya story character best saran dariku tolong tambahkan fitur grafis game genshin opsi visual character diatur low med high aja dariku biar awet batrenya overall amazing keep,1,positive
overall gamenya bagus segi story semacamnyatapi kekurangan dibagian optimalisasi map stabiltapi versi mapnya stabil,-6,negative
chapter mini open world males eksplorasi pas story kelar nggak buka map teks dialog banget kadang nggak textbox udh nggak ciri khas honkai berkurang kayak genshin versi lite,-6,negative
game bagus grafik mantap pas update bug bug mukanya rambut senjata keliatan parah karakter musuh invisible semoga ajah update tan hilang bug,-1,negative
game bagus tolong update kalo mode open world kasih tombol lari kayak gensin impack lari tambahin setelan kamera ngecilin gedein gambar karakternya aja lainya mah dah mantep,-11,negative
maen mslh tp wktu download ulang maen sistemnya bilang eror cek valkrie raden mei sakura muncul eror udah pake wifi bagus hp bagus tolong fix ni maen ndak,-11,negative
gameplay menarik story udah kaya nonton anime seru diikutin cuman update kali dimana audio music background suara karakter lobby gameplay ngga udah download full karakter golden diva mendapati kekurangan qte dipicu karakter diam ngga nyerang gerak tolong diperbaiki,-8,negative
game segi grafik jgn bagus bgt smooth pdhl settingan low story menarik bnyk yg diotakatik ngebosenin jdinya yg heran knp buka aplikasi update pengaturan sengaja biar keamanan sistem game tebal tembus cheat sekian overall good,-5,negative
game pelit abis update loadingnya lamaa bener pdhl gw tambahin bintang karna maen nemu bug pas kemarin abis update loading masuk story modenya banget ngecek sinyal sinyal wifi jelek nonton yt tik tok ig mobile legend ama pubg ngeleg perfoma hp update kaga gitu,-2,negative
alur cerita kontrol grafis sdh bagus update map map lag udh settingan lowbukan hp kentang bug victory anime dibeberapa valk tolong diperbaiki,-7,negative
gameplay storynya bagus banget kekurangannya event pake open world berat lag crystalnya daily susah didapet kalo story selesai game udah bagus banget,-8,negative
gamenya bagus sayang hp kuat main unduh cg story penyimpanan habis gb event terbaru kobarkan api tau chapter fc frame story mode pakai grafik high lancar lancar aja aja gameplay salah gamenya udah bagus banget,0,neutral
